season,srcFips,srcLat,srcLon,corrCoef
3,09,41.5834,-72.762200000000007,0.1562552446605286
3,40,35.5376,-96.9247,0.18786350631371787
4,04,33.7712,-111.3877,0.5112606943289121
4,35,34.8375,-106.2371,0.528471326331066
5,44,41.6772,-71.5101,0.3065914974375799
5,50,44.0407,-72.7093,0.3022481536221048
6,06,36.17,-119.7462,0.42067071742375833
6,32,38.4199,-117.1219,0.40447502867621066
7,01,32.799,-86.8073,0.3800784381530498
7,13,32.9866,-83.6487,0.36513796343527094
8,06,36.17,-119.7462,0.11392815770982188
8,32,38.4199,-117.1219,0.09580709607961556
9,10,39.3498,-75.5148,0.386575101806082
9,34,40.314,-74.5089,0.3883465762512019
